label,letter_image_path,letter_sound_path,object_image_path,object_sound_path
alif,alif/alif-01.png,alif/alif.m4a,alif/anaar.png,
alif mad aa,alif mad aa/alif mad aa-01.png,alif mad aa/alif mad aa.m4a,alif mad aa/aam.png,
baa,baa/baa-01.png,baa/baa.m4a,baa/battakh1.png,
paa,,,,
taa,,,,
ttaa,,,,
seey,,,,
jeem,,,,
cheey,cheey/,cheey/,cheey/,
haa1,,,,
khaa,,,,
daal,,,,
dhaal,,,,
zaal,,,,
raa,,,,
rhraa,,,,
zaaa,,,,
zhaa,,,,
seen,,,,
sheen,,,,
swaad,,,,
zwaad,,,,
Twaa,,,,
zwaa,,,,
ayn,ayn/ayn-01.png,ayn/ayn.m4a,ayn/aynak.png,
ghain,,,,
faa,,,,
qaaf,,,,
kaaf,,,,
gaaf,,,,
laam,,,,
meen,,,,
noon,,,,
noonghunna,,,,
waw,,,,
haa2,,,,
haa3,,,,
Hamza,,,,
choti yaa,,,,
bari yaa,bari yaa/bari yaa-01.png,bari yaa/bari yaa.m4a,bari yaa/yakka.png,
